url num_files insertions deletions
https://github.com/secure-foundations/ironsync-osdi2023/commit/903f157c8b8d9bddc4a1be8dec762bc139c97415 1 5 7
https://github.com/secure-foundations/ironsync-osdi2023/commit/3e6839e25873ed8cc7a6b62fe12adc4bfcb91519 4 5 5
https://github.com/secure-foundations/ironsync-osdi2023/commit/36659793cce8ee9bd0c0bdcfe8460a64c83b339a 2 30 12
https://github.com/wenhuizhang/summer-school-2020/commit/8dcbd5c9e83d5b32070f1b617880441546de4a57 1 3 2
https://github.com/dafny-lang/libraries/commit/40946a47f941322ee5dd33498cf44b3df210397b 19 135 99
https://github.com/guimath/BPTree-verif/commit/f356496e5a2d38e7b1136dc6c827ed9328207773 1 96 89
https://github.com/secure-foundations/ironsync-osdi2023/commit/5b07354cdca66ba453e85ca1985033545044183e 1 4 22
https://github.com/secure-foundations/ironsync-osdi2023/commit/fc3752004d4c421cf13398dd612878f77b2de05b 7 133 65
https://github.com/secure-foundations/ironsync-osdi2023/commit/35bd86c78cfc56890ddbe1803a9cf5522a5e7363 2 10 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/8942e861e8604beeeb9dab867c73520bc4c8d9b6 2 4 2
https://github.com/secure-foundations/ironsync-osdi2023/commit/6023f1ff177261930d49985cf5369273ee3fbb26 3 87 9
https://github.com/dafny-lang/libraries/commit/32974fc6a49769a42fb0ce1809d9d18c505f7483 15 17 15
https://github.com/jorge-jbs/TFG/commit/81e3ecec9d0b988f2256268c2168d9787c85a347 2 46 46
https://github.com/secure-foundations/ironsync-osdi2023/commit/e18388e38bb8894c207a9aebbeb31c0f3f7d3022 3 33 11
https://github.com/secure-foundations/ironsync-osdi2023/commit/b4ca618a5ec61baf8d0fe73dcb7aa5a1d68ad277 1 1 0
https://github.com/jorge-jbs/TFG/commit/98d1d9ae160778a6b5fff5a624ea76e80ebeebb8 1 2 2
https://github.com/secure-foundations/ironsync-osdi2023/commit/1e6ec5ce367961ad4675eeb51af47da847ec7cdc 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/add6fb229a115555789f4035c0b980cec4bc9de6 1 2 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/f8483297db147bcd6cec0c5f3d4034f66b4ad681 2 91 87
https://github.com/StephRMcIntyre/cs245-verification/commit/0a3c98e29e1265b01eff2769ae5fcf3f51d9ef12 2 4 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/1421922e52ba9b88a0dc3d91b8e55bc8d793127e 2 3 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/984755f80d9483e25cb2e897a2c319721dc3acc2 2 59 18
https://github.com/secure-foundations/ironsync-osdi2023/commit/b4212d1696d9561395eb0c63785ab4521c8d1122 3 134 4
https://github.com/hath995/dafny-aoc-2019/commit/22a45e013adbb9463fe9f2e3abcfbf1e3b8f8b74 3 16 6
https://github.com/secure-foundations/ironsync-osdi2023/commit/bfe4dd6ccc3ae1ceb9c053e4dc63c45fd32ad1f1 5 18 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/bca5b25a507f4bc8e0f930ce92e787189831920d 4 12 14
https://github.com/secure-foundations/ironsync-osdi2023/commit/0ee50f7ca68dc31c07324633a23a514303e53e30 1 75 98
https://github.com/secure-foundations/ironsync-osdi2023/commit/e8dcc5b93a8f8fd242ea08daccb4a30c826cbf22 1 538 437
https://github.com/secure-foundations/ironsync-osdi2023/commit/bb0bb0bdc29d01311fe9d1dab63342b98a35eb38 1 13 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/2ebcd62912b518f0bd99a35d782434e99cb63311 1 1 1
https://github.com/vitorhugo13/feup-mfes/commit/6d6de72353cc920629e362fcaa37a1162889e790 2 14 5
https://github.com/secure-foundations/ironsync-osdi2023/commit/f32d8b885ed4d0b2bc5fc3decc68fd947b7db13d 1 10 7
https://github.com/secure-foundations/ironsync-osdi2023/commit/df435f7b4835e8e89ae940e6fb244d4def442e22 1 34 21
https://github.com/secure-foundations/ironsync-osdi2023/commit/a3aa9a1969a6638f7601b69c500cf2b2d8c458e1 1 59 21
https://github.com/secure-foundations/ironsync-osdi2023/commit/b052d2429635da66468d8bc9945da6614f8d1500 1 2 2
https://github.com/jonhnet/vmware-verification-2023/commit/123744e555dfba4cf8803e54f6c98db4a40c8c85 3 140 110
https://github.com/secure-foundations/ironsync-osdi2023/commit/19f0d8107fd28ba86c1722011f0f088b7f39ab73 5 38 14
https://github.com/secure-foundations/ironsync-osdi2023/commit/29099c1b8f99dbc843f0375b6f947993dbb2ce07 2 12 5
https://github.com/secure-foundations/ironsync-osdi2023/commit/a55223520eab84e72c9c6e8c6d12986d5158b561 1 175 37
https://github.com/secure-foundations/ironsync-osdi2023/commit/877a02f5425463d7bcdfdb52e5318fb9a09ff41f 1 113 117
https://github.com/namin/dafny-sandbox/commit/d1b5860ed85f73bf873cb8e59ca938919faa8243 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/fd5de59f91ffe0d0c0764ecf632351ed0802bc72 1 8 11
https://github.com/secure-foundations/ironsync-osdi2023/commit/1597fbfeab40301028ce6486976412f87bbf4048 1 4096 4096
https://github.com/VicentF/CVS-Projto1/commit/353f09f250dcdd62e8352ae0bb10b4e90348b044 1 6 5
https://github.com/wenhuizhang/summer-school-2020/commit/0836fa88b7da201cd911335421c9f6c7421e4fb2 1 49 14
https://github.com/secure-foundations/ironsync-osdi2023/commit/3dd8a29170b85901a05ae980c076dd5e76bcf1db 4 17 7
https://github.com/pemesteves/MFES_2021/commit/dba3ef48e15fa0b07b127842a301263f9764e3ca 1 29 9
https://github.com/jorge-jbs/TFG/commit/a5766134d7c75232f12e320aea8115a6ddd621ff 3 90 1
https://github.com/Zyfarok/fv2020-tms/commit/3083575c2106338623c43e2254923806a19ae7bb 1 394 136
https://github.com/secure-foundations/ironsync-osdi2023/commit/06d34c3f111a229cd8dffcbc382c6b9c2c1c5928 1 43 4
https://github.com/monadius/dafny_examples/commit/c2349b82753475c02fd30f28e2e71bd1ad1aa497 2 4 1
https://github.com/dafny-lang/Dafny-VMC/commit/493d1b52fe649e343c70e1a34bf9501d8d2ec862 2 60 52
https://github.com/secure-foundations/ironsync-osdi2023/commit/0da7158cbfa434403b6d04e926945b85ef5a591e 2 9 9
https://github.com/secure-foundations/ironsync-osdi2023/commit/eb4481657b3a0f6a9094ac98bc8a42ee088b4636 2 32 18
https://github.com/secure-foundations/ironsync-osdi2023/commit/4ffad5e78c34125c9e4eca095eee12d64524c903 6 167 159
https://github.com/secure-foundations/ironsync-osdi2023/commit/2dd252cc55f415a7655a21f862c79d8d6cf305c6 9 29 29
https://github.com/secure-foundations/ironsync-osdi2023/commit/0e2eb071c90e2130043168081aab9109607b2294 3 213 3
https://github.com/MarkValman/groupTheory/commit/b6ed2b0248614e56f43d42f7293d65ef6ccc25a6 2 141 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/61efea84b60b5c7d04fa890ecc1adbd0e80c13e8 19 19 22
https://github.com/secure-foundations/ironsync-osdi2023/commit/14edfdeab1a97c65af026d4cdef2a5994056c4ec 1 3 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/b41258cde748e2211fa9ee6288d079773a96627f 3 47 33
https://github.com/secure-foundations/ironsync-osdi2023/commit/43fad30b593edfff3add9c99f3d0110798439723 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/eeadd8ba65ba32f2c1ac745427c0ffe7641a3d51 2 96 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/a32abb6a539c5795e6ab268f58079fd9e26985df 1 5 0
https://github.com/volodeyka/veri-sparse/commit/32b1b90cd60045b28009549a8d7073fc76b37249 1 13 13
https://github.com/secure-foundations/ironsync-osdi2023/commit/91cc471cfba3d655a8d05ec0a7bef84899af5fdd 3 116 98
https://github.com/secure-foundations/ironsync-osdi2023/commit/a52568fa036e533c9355583656f6d8ec78ac1d2d 1 3 2
https://github.com/secure-foundations/ironsync-osdi2023/commit/07a4a30787c6b2eea61dfb673fc20bbf7c7df34e 1 0 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/e179880ab91d8af211172eaab8f99e0bbbd55c0e 3 82 64
https://github.com/secure-foundations/ironsync-osdi2023/commit/4237d3a0240d8f677869abf613a9e83b6f4ac994 4 62 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/291dfd9ef2a15469d1a70c75cb0db01a00dfe4de 1 5 5
https://github.com/wenhuizhang/summer-school-2020/commit/69d617ec7df7a45c8cc4300180e07abe6fa1c247 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/696778c31b3075f54af705d05e8d19260c612cbe 1 15 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/e225536134817b457e509cd348b06bc43f2a124e 4 36 31
https://github.com/dafny-lang/libraries/commit/04b3ec57dc0acffce2c508aa1a4a4fb899a895af 41 996 998
https://github.com/secure-foundations/ironsync-osdi2023/commit/059e76492924bff47e3432ca5cebf421870037a6 5 38 14
https://github.com/secure-foundations/ironsync-osdi2023/commit/979796b4c4ea2047bc758d76de04d011661a5648 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/7f9bc673026e874c0e21e2bde65d3c071c2b1c5b 1 9 11
https://github.com/secure-foundations/ironsync-osdi2023/commit/719a9d535ea67ef2066aad6627f45e8816401860 2 19 22
https://github.com/guimath/BPTree-verif/commit/dfcc65f1b2717f38c3e10295789f76df99559a3c 1 35 3
https://github.com/cristirusu-99/Dafny-Practice/commit/78631ed1496b59530e058f0d85453cd15f3e0a6e 2 104 10
https://github.com/secure-foundations/ironsync-osdi2023/commit/81cbf2a95acbca514adeba53f5ae16e90a73769c 3 93 97
https://github.com/secure-foundations/ironsync-osdi2023/commit/b6eb85140a2b6b016f92c25ac2c6e5508dce7112 3 101 52
