benchmark_name,program_name,method_name,start_pos,end_pos,num_pre,num_post
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,CreateFailureOfError,10594,10708,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,CreateSuccessOfClient,10455,10590,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,_ctor,10769,10961,1,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,Decrypt,13106,14492,1,3
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,Decrypt,16220,17255,1,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,Decrypt,3999,5246,1,3
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,DefaultAwsEncryptionSdkConfig,9948,9997,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,Encrypt,11502,12888,1,3
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,Encrypt,15019,16054,1,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,Encrypt,2589,3836,1,3
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,ESDK,10022,10332,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,IsDummySubsetType,9612,9669,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,IsValid_CountingNumbers,5667,5738,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/Model/AwsCryptographyEncryptionSdkTypes.dfy,IsValid_FrameLength,7347,7427,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Index.dfy,_ctor,2407,2625,1,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Index.dfy,DefaultAwsEncryptionSdkConfig,542,885,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Index.dfy,ESDK,890,2149,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/KeyDerivation.dfy,DeriveKey,1029,4274,5,5
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/KeyDerivation.dfy,DeriveKeys,8503,11356,4,4
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/KeyDerivation.dfy,ExpandKeyMaterial,4881,8359,8,3
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/EncryptedDataKeys.dfy,ReadEncryptedDataKey,1634,2556,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/EncryptedDataKeys.dfy,ReadEncryptedDataKeys,2561,3564,2,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/EncryptedDataKeys.dfy,ReadEncryptedDataKeysSection,3569,5020,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/EncryptedDataKeys.dfy,WriteEncryptedDataKey,568,783,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/EncryptedDataKeys.dfy,WriteEncryptedDataKeys,922,1172,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/EncryptedDataKeys.dfy,WriteEncryptedDataKeysSection,1459,1629,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/Frames.dfy,ReadFinalFrame,7747,11053,0,3
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/Frames.dfy,ReadNonFrame,11058,12526,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/Frames.dfy,ReadRegularFrame,4933,7056,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/Frames.dfy,WriteFinalFrame,7061,7742,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/Frames.dfy,WriteRegularFrame,4485,4928,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderAuth.dfy,ReadHeaderAuthTag,4724,5518,0,4
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderAuth.dfy,ReadHeaderAuthTagV1,2964,3884,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderAuth.dfy,ReadHeaderAuthTagV2,3889,4718,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderAuth.dfy,WriteHeaderAuthTag,2571,2959,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderAuth.dfy,WriteHeaderAuthTagV1,1544,2566,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderAuth.dfy,WriteHeaderAuthTagV2,779,1539,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/Header.dfy,HeaderVersionSupportsCommitment?,2792,3346,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/Header.dfy,ReadHeaderBody,4050,5504,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/Header.dfy,WriteHeaderBody,5905,6187,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderTypes.dfy,Get,1522,1868,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderTypes.dfy,Get,3509,3807,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderTypes.dfy,Get,4297,4627,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderTypes.dfy,Serialize,3126,3228,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderTypes.dfy,Serialize,3876,3996,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/HeaderTypes.dfy,Serialize,594,714,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,GetCanonicalLinearPairs,3905,4709,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,GetEncryptKeyLength,2588,2893,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,GetIvLength,1982,2128,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,GetIvLengthZeros,2133,2430,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,GetTagLength,2435,2583,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,IsESDKEncryptedDataKey,776,1002,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,IsESDKEncryptionContext,1475,1871,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,Length,3372,3778,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,LinearLength,5881,7014,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializableTypes.dfy,PairLength,7020,7295,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,Read,7576,8480,0,3
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,ReadShortLengthSeq,10011,10610,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,ReadUInt16,8595,8944,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,ReadUInt32,9059,9408,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,ReadUint32Seq,10742,11303,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,ReadUInt64,9523,9872,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,ReadUint64Seq,11435,11986,0,2
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,Write,7468,7571,0,1
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,WriteShortLengthSeq,9877,10006,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,WriteUint16,8485,8590,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,WriteUint32,8949,9054,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,WriteUint32Seq,10615,10737,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,WriteUint64,9413,9518,0,0
AWS,/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions.dfy,WriteUint64Seq,11308,11430,0,0
