"benchmark_name","program_name","mutation_operator","parsing_time","plugin_time","resolution_time","verification_time","number_of_targets","scan_time"
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","ALL",2.0337,91.4897,312.9442,1572.6168,152,2995
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","AMR",2.1904,86.4371,332.1444,1645.1121,0,3132
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","BBR",2.0584,80.3401,323.5593,1617.4644,6,3078
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","BOR",2.4207,79.2628,318.7663,1589.222,27,3053
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","CBE",2.0507,83.3912,352.6209,1621.598,3,3142
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","CBR",2.043,77.2232,324.1353,1631.6425,0,3079
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","CIR",2.1579,80.7157,333.6061,1624.7909,0,3084
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","DCR",2.0163,79.6916,325.5039,1620.3091,0,3085
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","EVR",2.0373,81.1536,334.3975,1581.1174,17,3060
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","FAR",2.0266,80.8706,327.3158,1580.2716,0,3027
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","LBI",2.0971,85.6603,330.3413,1604.2944,1,3097
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","LSR",2.2516,77.5747,315.8532,1591.0867,0,3056
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","LVR",2.4505,103.177,387.0611,1760.7472,15,3420
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","MAP",3.6101,83.7368,325.4288,1589.3987,0,3111
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","MCR",2.0002,79.1432,322.3578,1599.3252,0,3059
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","MMR",2.0237,89.9909,353.7243,1569.3656,0,3094
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","MNR",2.1649,83.4528,337.4982,1593.422,0,3111
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","MRR",2.0563,83.7351,326.0835,1604.793,1,3071
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","MVR",1.9909,85.7885,329.4985,1613.2696,1,3088
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","ODL",2.0142,80.3116,317.5557,1586.5869,12,3018
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","PRV",2.1634,81.1312,329.686,1625.5319,0,3099
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","SAR",2.202,82.8521,343.4769,1674.6041,0,3184
