benchmark_name,program_name
DafnyBench,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_variant examples_SumOfCubes
DafnyBench,dafny-synthesis_task_id_238
DafnyBench,Formal-Methods-Project_tmp_tmphh2ar2xv_Factorial
DafnyBench,dafny-synthesis_task_id_637
DafnyBench,Dafny_tmp_tmpmvs2dmry_examples2
DafnyBench,dafny-exercise_tmp_tmpouftptir_reverse
DafnyBench,dafny-synthesis_task_id_127
DafnyBench,dafny-synthesis_task_id_269
DafnyBench,M2_tmp_tmp2laaavvl_Software Verification_Exercices_Exo7-ComputeSum
DafnyBench,dafny-synthesis_task_id_807
DafnyBench,Clover_triple2
DafnyBench,Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_pow
DafnyBench,dafny_misc_tmp_tmpg4vzlnm1_rosetta_code_fibonacci_sequence
DafnyBench,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_Bug144
DafnyBench,Software-Verification_tmp_tmpv4ueky2d_Valid Palindrome_valid_panlindrome
DafnyBench,dafny-synthesis_task_id_594
DafnyBench,dafny-synthesis_task_id_161
DafnyBench,dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_TreeBarrier
DafnyBench,Metodos_Formais_tmp_tmpql2hwcsh_Arrays_explicacao
DafnyBench,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_git-issue133
DafnyBench,dafny-synthesis_task_id_424
DafnyBench,dafny-synthesis_task_id_257
DafnyBench,DafnyPrograms_tmp_tmp74_f9k_c_map-multiset-implementation
DafnyBench,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_41
DafnyBench,Metodos_Formais_tmp_tmpbez22nnn_Aula_4_ex3
DafnyBench,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_MonadicLaws
DafnyBench,Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_10_Hoangkim_ex10_hoangkim
DafnyBench,llm-verified-eval_tmp_tmpd2deqn_i_dafny_9
DafnyBench,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15
DafnyBench,dafny-synthesis_task_id_399
DafnyBench,dafny-rope_tmp_tmpl4v_njmy_Rope
DafnyBench,MFES_2021_tmp_tmpuljn8zd9_PracticalClasses_TP3_2_Insertion_Sort
DafnyBench,dafny-language-server_tmp_tmpkir0kenl_Test_hofs_Compilation
DafnyBench,Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_04_Hoangkim_ex_04_Hoangkim
DafnyBench,protocol-verification-fa2023_tmp_tmpw6hy3mjp_demos_ch04_inductive_chain
DafnyBench,dafny-synthesis_task_id_79
DafnyBench,dafny-synthesis_task_id_629
DafnyBench,CS5232_Project_tmp_tmpai_cfrng_LFUSimple
DafnyBench,formal-methods-in-software-engineering_tmp_tmpe7fjnek6_Labs4_gr2
DafnyBench,dafny-synthesis_task_id_113
DafnyBench,specTesting_tmp_tmpueam35lx_examples_max_max
DafnyBench,summer-school-2020_tmp_tmpn8nf7zf0_chapter01_solutions_exercise11_solution
DafnyBench,MIEIC_mfes_tmp_tmpq3ho7nve_TP3_binary_search
DafnyBench,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_verified algorithms_inductive_props
DafnyBench,Clover_cal_sum
DafnyBench,dafny-synthesis_task_id_644
DafnyBench,dafny-synthesis_task_id_627
DafnyBench,Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_sum
DafnyBench,dafny-synthesis_task_id_809
DafnyBench,Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Quick_Sort
DafnyBench,Clover_min_array
DafnyBench,dafny-programs_tmp_tmpcwodh6qh_src_expt
